Column,reference,text,name,normalized,cluster_key_collision,cluster_levenshtein,cluster_levenshtein_radius2,cluster_levenshtein_block5
59,075:041, m.ÌR-a-$i-ir-t[a ÌR], m.ÌR-a-$i-ir-t[a, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
60,076:001, [m.]ri-ib-d.IßKUR iq-bi a-n[a] <EN-$u>, [m.]ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
61,076:008, KALAG.GA nu-kúr-tu4 $a-a m.ÌR-a-$i-ir-ta, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
62,076:012, m.Ì[R]-a-$i[-ir-]ta UR.GI7 ù yu-ba-ú, m.Ì[R]-a-$i[-ir-]ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
63,077:001, [a]-na m.[a-m]a[-an-ap-pa mon père], m.[a-m]a[-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa
64,077:002, um-ma m.ri-i[b-d.IßKUR a-na GÌR.MEß-ka], m.ri-i[b-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
65,078:001, [m.ri-ib]-d.IßKUR iq-b[i], [m.ri-ib]-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
66,078:009, [m.ÌR]-d.a-$i-ir-ta UGU-i[a ù], [m.ÌR]-d.a-$i-ir-ta, m.ÌR-d.a-ši-ir-ta, m.ÌR-d.a-ši-ir-ta, m.ÌR-d.a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
67,079:001, [m.ri-i]b-d.IßKUR iq-bi, [m.ri-i]b-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
68,079:009, m.a-ma-an-ap-pa a-na mu-hi-ia, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa
69,079:012, KA \ pí-i m.ÌR-a-$i-ir[-ta], m.ÌR-a-$i-ir[-ta], m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
70,079:022, [a-na] pí-i m.ÌR-a-$i-ir-ta, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
